Sample,LFQ_Int_CP35491,LFQ_Int_CP10882,LFQ_Int_CN06567,LFQ_Int_CP16894,LFQ_Int_CP22324,LFQ_Int_CH10571,LFQ_Int_CN30310,LFQ_Int_CP19452,LFQ_Int_CM5736,LFQ_Int_CN14704,LFQ_Int_CN39836,LFQ_Int_CP28844,LFQ_Int_CP34310,LFQ_Int_CP34241,LFQ_Int_CP34736,LFQ_Int_CP21176,LFQ_Int_CP24232,LFQ_Int_CN29552,LFQ_Int_CN36290,LFQ_Int_CP23023,LFQ_Int_CN35769
Label,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,High Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade,Low Grade
Q9H2D6,13890133,68514000,52550000,33721000,71456000,32024000,66722000,28237000,20088000,20777586,96508000,18690000,1945400,8816800,21925500,109100000,16087000,56025000,111670000,50397000,108060000
Q9H2H8,14161200,93999000,29251000,31071000,32732000,23592000,21196000,18615044,22683000,27127000,53723000,1546600,1733600,14453275,14201583,73330000,52865000,39919000,40405000,24043000,52263000
Q9H2M9,8802550,33761000,37402000,25165000,29613000,23127000,23868000,15417000,24480000,24626000,26910000,10824200,6961100,15957000,19993150,33607000,14663512,26209000,24002000,36568000,31895000
Q9H3G5,8846600,79885000,37028000,48341000,21931000,12425000,16042350,3786300,10034125,7791800,37881111,4154300,31398838,16511000,8864600,88242000,17180000,56803000,14902000,16931000,18203000
Q9H3H3,12288750,26306000,7623000,7055200,11185000,18968000,27901000,3470300,33479175,12753175,43912000,9108400,8287400,20426100,7914233,26690000,12526000,28314000,58142000,49965000,14010000
Q9H490,4879100,36877000,61586000,12880000,29859000,6498000,6535900,10983000,10960950,20041000,21735000,9422900,31398838,12588125,11671975,61307000,10112000,56271970,46355000,15111000,30216000
Q9H4A6,5476100,47985000,51354000,21887375,24838000,15157356,15240000,9475600,17210000,29425000,24679000,13690300,31398838,15957000,31613000,40585000,17758000,29486000,43448000,35688000,37188000
Q9H6X2,5600900,61817000,25688000,20444150,9227300,2630200,8661500,1566900,96624000,23651000,7920200,955500,701900,5999950,7411300,90034000,25684000,8942100,11552000,7817600,10355000
Q9H6Z4,10785800,85053000,24012000,18064000,24648000,25490000,39261000,3322700,15743500,15639000,3521100,5657200,31398838,11277850,15270200,46819000,12149000,45090000,29170000,29591000,35509000
Q9H7Z7,17432760,23247000,62756000,12841000,26925000,26328000,15303000,9061400,9233550,13918000,21295000,7430500,1137500,18031000,8910767,76457000,22325000,22725000,32678000,18377000,16221000
Q9H845,9394900,44241000,4282200,6196100,28375000,8104000,7295400,5692900,140222000,17620000,21355000,4095933,2150400,5999950,4884200,155480000,4868400,8474800,5447000,22177614,14549000
Q9H9E3,58109437,344930740,260090000,66709000,513640000,36871000,147750000,57800000,50437000,63581000,59154000,29636000,30361300,42449057,18071000,223390000,227330000,82966000,199220000,236440000,321620000
